gene_id	length	func
S1_only_classu|MSTRG.10421.1.p1	217	
S1_only_classu|MSTRG.10422.1.p1	311	
S1_only_classu|MSTRG.10442.1.p1	383	
S1_only_classu|MSTRG.10442.1.p3	184	
S1_only_classu|MSTRG.10452.1.p2	208	
S1_only_classu|MSTRG.10452.1.p5	131	
S1_only_classu|MSTRG.10477.1.p3	101	
S1_only_classu|MSTRG.10478.1.p1	101	
S1_only_classu|MSTRG.10496.1.p1	227	
S1_only_classu|MSTRG.10496.2.p1	207	
S1_only_classu|MSTRG.105.1.p2	120	
S1_only_classu|MSTRG.10504.1.p1	1047	
S1_only_classu|MSTRG.10508.1.p2	114	
S1_only_classu|MSTRG.10531.1.p2	236	
S1_only_classu|MSTRG.10531.1.p6	123	
S1_only_classu|MSTRG.1054.1.p1	588	
S1_only_classu|MSTRG.10608.1.p2	169	
S1_only_classu|MSTRG.10608.1.p3	146	
S1_only_classu|MSTRG.10608.1.p6	107	
S1_only_classu|MSTRG.10608.2.p2	159	
S1_only_classu|MSTRG.10608.2.p3	146	
S1_only_classu|MSTRG.10608.2.p4	141	
S1_only_classu|MSTRG.10608.2.p7	107	
S1_only_classu|MSTRG.10611.1.p1	343	
S1_only_classu|MSTRG.1062.1.p1	892	
S1_only_classu|MSTRG.10641.1.p1	347	
S1_only_classu|MSTRG.10652.1.p1	411	
S1_only_classu|MSTRG.10652.1.p2	309	
S1_only_classu|MSTRG.10652.1.p5	158	
S1_only_classu|MSTRG.10728.1.p1	242	
S1_only_classu|MSTRG.10729.1.p1	246	
S1_only_classu|MSTRG.10748.1.p1	432	
S1_only_classu|MSTRG.10776.1.p2	212	
S1_only_classu|MSTRG.10776.1.p6	133	
S1_only_classu|MSTRG.10786.1.p1	652	
S1_only_classu|MSTRG.10795.1.p1	365	
S1_only_classu|MSTRG.10802.1.p1	567	
S1_only_classu|MSTRG.10810.1.p1	1309	
S1_only_classu|MSTRG.10821.1.p1	259	
S1_only_classu|MSTRG.10823.1.p1	161	
S1_only_classu|MSTRG.10841.1.p1	483	
S1_only_classu|MSTRG.10853.1.p1	399	
S1_only_classu|MSTRG.10853.1.p2	397	
S1_only_classu|MSTRG.10853.1.p3	320	
S1_only_classu|MSTRG.10859.1.p1	214	
S1_only_classu|MSTRG.1086.1.p1	817	
S1_only_classu|MSTRG.1086.1.p3	204	
S1_only_classu|MSTRG.1086.1.p8	109	
S1_only_classu|MSTRG.10862.1.p1	789	
S1_only_classu|MSTRG.10882.1.p1	308	
S1_only_classu|MSTRG.10894.1.p1	166	
S1_only_classu|MSTRG.10912.1.p1	479	
S1_only_classu|MSTRG.1092.1.p1	130	
S1_only_classu|MSTRG.10928.1.p1	1033	
S1_only_classu|MSTRG.10928.1.p2	347	
S1_only_classu|MSTRG.10933.1.p1	204	
S1_only_classu|MSTRG.10935.1.p2	270	
S1_only_classu|MSTRG.10935.1.p4	172	
S1_only_classu|MSTRG.10952.1.p1	4045	
S1_only_classu|MSTRG.10956.1.p1	449	
S1_only_classu|MSTRG.1097.1.p1	290	
S1_only_classu|MSTRG.10994.1.p1	243	
S1_only_classu|MSTRG.10996.1.p1	459	
S1_only_classu|MSTRG.10997.1.p1	343	
S1_only_classu|MSTRG.10999.1.p1	355	
S1_only_classu|MSTRG.11011.1.p1	576	
S1_only_classu|MSTRG.11032.1.p1	407	
S1_only_classu|MSTRG.11033.1.p2	344	
S1_only_classu|MSTRG.11061.1.p1	288	
S1_only_classu|MSTRG.11064.1.p1	119	
S1_only_classu|MSTRG.11067.1.p1	150	
S1_only_classu|MSTRG.11068.1.p2	159	
S1_only_classu|MSTRG.11068.1.p3	150	
S1_only_classu|MSTRG.11068.1.p4	135	
S1_only_classu|MSTRG.11068.1.p6	103	
S1_only_classu|MSTRG.11104.1.p1	510	
S1_only_classu|MSTRG.11105.1.p1	173	
S1_only_classu|MSTRG.11108.1.p1	223	
S1_only_classu|MSTRG.11165.1.p1	899	
S1_only_classu|MSTRG.11174.1.p1	416	
S1_only_classu|MSTRG.11197.1.p1	695	
S1_only_classu|MSTRG.11210.1.p1	908	
S1_only_classu|MSTRG.11225.1.p1	142	
S1_only_classu|MSTRG.11258.1.p1	780	
S1_only_classu|MSTRG.11270.1.p1	357	
S1_only_classu|MSTRG.11277.1.p1	795	
S1_only_classu|MSTRG.11293.1.p1	618	
S1_only_classu|MSTRG.11293.1.p3	197	
S1_only_classu|MSTRG.11312.1.p1	622	
S1_only_classu|MSTRG.11312.1.p7	121	
S1_only_classu|MSTRG.11326.1.p1	578	
S1_only_classu|MSTRG.11327.1.p3	166	
S1_only_classu|MSTRG.11327.1.p4	103	
S1_only_classu|MSTRG.11330.2.p2	147	
S1_only_classu|MSTRG.11332.1.p2	148	
S1_only_classu|MSTRG.11334.1.p1	362	
S1_only_classu|MSTRG.11350.1.p1	976	
S1_only_classu|MSTRG.11350.2.p1	976	
S1_only_classu|MSTRG.11365.1.p1	102	
S1_only_classu|MSTRG.11371.1.p1	299	
S1_only_classu|MSTRG.11374.2.p1	1711	
S1_only_classu|MSTRG.11379.1.p1	762	
S1_only_classu|MSTRG.1138.1.p1	268	
S1_only_classu|MSTRG.11414.1.p1	436	
S1_only_classu|MSTRG.11414.1.p2	175	
S1_only_classu|MSTRG.1142.1.p2	105	
S1_only_classu|MSTRG.11441.1.p1	747	
S1_only_classu|MSTRG.11451.1.p1	1696	
S1_only_classu|MSTRG.11451.1.p2	166	
S1_only_classu|MSTRG.11471.1.p1	203	
S1_only_classu|MSTRG.11504.1.p2	109	
S1_only_classu|MSTRG.11505.1.p1	302	
S1_only_classu|MSTRG.11516.2.p1	399	
S1_only_classu|MSTRG.11562.1.p1	349	
S1_only_classu|MSTRG.11617.1.p1	107	
S1_only_classu|MSTRG.11631.1.p1	452	
S1_only_classu|MSTRG.11639.1.p1	192	
S1_only_classu|MSTRG.11639.1.p2	140	
S1_only_classu|MSTRG.11639.1.p4	120	
S1_only_classu|MSTRG.11647.1.p1	313	
S1_only_classu|MSTRG.11655.1.p1	1201	
S1_only_classu|MSTRG.11666.1.p1	849	
S1_only_classu|MSTRG.11668.1.p1	192	
S1_only_classu|MSTRG.11690.1.p1	157	
S1_only_classu|MSTRG.11691.2.p1	273	
S1_only_classu|MSTRG.1171.1.p1	1031	
S1_only_classu|MSTRG.11717.1.p1	1590	
S1_only_classu|MSTRG.11717.2.p1	1590	
S1_only_classu|MSTRG.11757.1.p1	1256	
S1_only_classu|MSTRG.11766.1.p1	446	
S1_only_classu|MSTRG.11793.1.p1	1184	
S1_only_classu|MSTRG.11808.1.p1	235	
S1_only_classu|MSTRG.1183.1.p1	416	
S1_only_classu|MSTRG.11844.1.p1	549	
S1_only_classu|MSTRG.11846.1.p1	284	
S1_only_classu|MSTRG.11849.1.p1	622	
S1_only_classu|MSTRG.11849.1.p3	467	
S1_only_classu|MSTRG.11853.1.p2	313	
S1_only_classu|MSTRG.11874.1.p1	198	
S1_only_classu|MSTRG.11875.1.p1	445	
S1_only_classu|MSTRG.11875.1.p3	132	
S1_only_classu|MSTRG.11875.2.p1	152	
S1_only_classu|MSTRG.11879.1.p1	670	
S1_only_classu|MSTRG.11880.1.p1	643	
S1_only_classu|MSTRG.11880.1.p2	554	
S1_only_classu|MSTRG.11880.2.p1	643	
S1_only_classu|MSTRG.11880.2.p2	554	
S1_only_classu|MSTRG.11880.3.p1	554	
S1_only_classu|MSTRG.11884.1.p1	291	
S1_only_classu|MSTRG.11891.1.p1	504	
S1_only_classu|MSTRG.11891.1.p2	265	
S1_only_classu|MSTRG.11903.1.p1	358	
S1_only_classu|MSTRG.11903.1.p3	106	
S1_only_classu|MSTRG.11904.1.p1	200	
S1_only_classu|MSTRG.11909.1.p1	362	
S1_only_classu|MSTRG.1192.1.p4	135	
S1_only_classu|MSTRG.1192.1.p6	118	
S1_only_classu|MSTRG.11936.1.p1	714	
S1_only_classu|MSTRG.11936.1.p5	137	
S1_only_classu|MSTRG.11938.1.p1	349	
S1_only_classu|MSTRG.11940.1.p1	1171	
S1_only_classu|MSTRG.12011.1.p1	366	
S1_only_classu|MSTRG.12011.1.p2	185	
S1_only_classu|MSTRG.12028.1.p1	593	
S1_only_classu|MSTRG.12028.1.p3	175	
S1_only_classu|MSTRG.12028.1.p9	123	
S1_only_classu|MSTRG.12041.1.p1	493	
S1_only_classu|MSTRG.12075.1.p1	171	
S1_only_classu|MSTRG.12076.1.p1	149	
S1_only_classu|MSTRG.12090.1.p1	532	
S1_only_classu|MSTRG.12090.1.p2	202	
S1_only_classu|MSTRG.12106.1.p1	226	
S1_only_classu|MSTRG.12137.1.p1	679	
S1_only_classu|MSTRG.12150.1.p1	418	
S1_only_classu|MSTRG.12160.1.p1	712	
S1_only_classu|MSTRG.12167.1.p1	299	
S1_only_classu|MSTRG.12174.1.p1	1738	
S1_only_classu|MSTRG.12180.1.p1	173	
S1_only_classu|MSTRG.12183.1.p1	1032	
S1_only_classu|MSTRG.12183.1.p2	655	
S1_only_classu|MSTRG.12183.1.p6	124	
S1_only_classu|MSTRG.12199.1.p1	626	
S1_only_classu|MSTRG.12199.1.p12	109	
S1_only_classu|MSTRG.12199.1.p2	492	
S1_only_classu|MSTRG.12202.1.p1	925	
S1_only_classu|MSTRG.12210.1.p1	274	
S1_only_classu|MSTRG.12228.1.p1	627	
S1_only_classu|MSTRG.12242.1.p2	184	
S1_only_classu|MSTRG.12242.1.p5	130	
S1_only_classu|MSTRG.12267.1.p1	848	
S1_only_classu|MSTRG.12270.1.p1	120	
S1_only_classu|MSTRG.12271.1.p1	572	
S1_only_classu|MSTRG.12271.1.p2	325	
S1_only_classu|MSTRG.12271.1.p3	242	
S1_only_classu|MSTRG.12276.1.p1	304	
S1_only_classu|MSTRG.12276.1.p2	245	
S1_only_classu|MSTRG.12278.1.p3	140	
S1_only_classu|MSTRG.12298.1.p1	700	
S1_only_classu|MSTRG.12299.1.p1	1067	
S1_only_classu|MSTRG.12299.1.p11	113	
S1_only_classu|MSTRG.12299.1.p2	914	
S1_only_classu|MSTRG.12299.1.p3	512	
S1_only_classu|MSTRG.12301.1.p1	318	
S1_only_classu|MSTRG.1231.1.p1	992	
S1_only_classu|MSTRG.12319.1.p1	991	
S1_only_classu|MSTRG.12334.1.p1	92	
S1_only_classu|MSTRG.1234.1.p1	594	
S1_only_classu|MSTRG.1234.1.p5	125	
S1_only_classu|MSTRG.12340.1.p1	857	
S1_only_classu|MSTRG.12342.1.p1	678	
S1_only_classu|MSTRG.12342.1.p2	545	
S1_only_classu|MSTRG.12344.1.p1	844	
S1_only_classu|MSTRG.12344.1.p4	125	
S1_only_classu|MSTRG.12350.1.p1	309	
S1_only_classu|MSTRG.12350.1.p2	236	
S1_only_classu|MSTRG.12362.1.p1	125	
S1_only_classu|MSTRG.12362.1.p3	109	
S1_only_classu|MSTRG.12372.1.p1	760	
S1_only_classu|MSTRG.12383.1.p1	433	
S1_only_classu|MSTRG.12383.1.p2	282	
S1_only_classu|MSTRG.12395.1.p1	583	
S1_only_classu|MSTRG.12396.1.p1	456	
S1_only_classu|MSTRG.12396.1.p3	207	
S1_only_classu|MSTRG.12397.1.p1	741	
S1_only_classu|MSTRG.12397.1.p3	102	
S1_only_classu|MSTRG.12402.1.p1	295	
S1_only_classu|MSTRG.12404.1.p1	515	
S1_only_classu|MSTRG.12404.1.p2	256	
S1_only_classu|MSTRG.12404.1.p3	254	
S1_only_classu|MSTRG.12408.1.p1	837	
S1_only_classu|MSTRG.12419.1.p1	195	
S1_only_classu|MSTRG.12429.1.p1	888	
S1_only_classu|MSTRG.12432.1.p2	160	
S1_only_classu|MSTRG.12435.1.p1	797	
S1_only_classu|MSTRG.12439.1.p1	386	
S1_only_classu|MSTRG.12449.1.p1	604	
S1_only_classu|MSTRG.12470.1.p1	803	
S1_only_classu|MSTRG.12480.1.p1	2028	
S1_only_classu|MSTRG.12493.1.p2	105	
S1_only_classu|MSTRG.12500.1.p1	689	
S1_only_classu|MSTRG.12500.1.p4	123	
S1_only_classu|MSTRG.12502.1.p1	642	
S1_only_classu|MSTRG.12502.1.p2	420	
S1_only_classu|MSTRG.12502.1.p3	267	
S1_only_classu|MSTRG.12506.1.p1	554	
S1_only_classu|MSTRG.12509.1.p1	434	
S1_only_classu|MSTRG.12509.1.p5	106	
S1_only_classu|MSTRG.12513.1.p3	106	
S1_only_classu|MSTRG.12515.1.p1	531	
S1_only_classu|MSTRG.12515.1.p4	280	
S1_only_classu|MSTRG.12521.1.p1	140	
S1_only_classu|MSTRG.12522.1.p3	111	
S1_only_classu|MSTRG.12556.1.p2	184	
S1_only_classu|MSTRG.12556.1.p3	169	
S1_only_classu|MSTRG.1258.1.p1	320	
S1_only_classu|MSTRG.12591.1.p1	415	
S1_only_classu|MSTRG.12594.1.p1	116	
S1_only_classu|MSTRG.12596.1.p1	366	
S1_only_classu|MSTRG.12596.1.p2	306	
S1_only_classu|MSTRG.12609.1.p4	100	
S1_only_classu|MSTRG.12628.1.p2	144	
S1_only_classu|MSTRG.12628.1.p7	103	
S1_only_classu|MSTRG.12630.1.p1	271	
S1_only_classu|MSTRG.12630.1.p2	134	
S1_only_classu|MSTRG.12638.1.p1	524	
S1_only_classu|MSTRG.12638.1.p3	169	
S1_only_classu|MSTRG.12641.1.p1	543	
S1_only_classu|MSTRG.12655.1.p1	787	
S1_only_classu|MSTRG.12655.1.p2	665	
S1_only_classu|MSTRG.1266.1.p1	782	
S1_only_classu|MSTRG.12660.1.p1	237	
S1_only_classu|MSTRG.12663.1.p1	348	
S1_only_classu|MSTRG.1267.1.p1	569	
S1_only_classu|MSTRG.1267.1.p4	137	
S1_only_classu|MSTRG.12684.1.p1	790	
S1_only_classu|MSTRG.12684.1.p2	410	
S1_only_classu|MSTRG.12715.1.p1	275	
S1_only_classu|MSTRG.12716.1.p1	638	
S1_only_classu|MSTRG.12734.1.p1	265	
S1_only_classu|MSTRG.12748.1.p1	1109	
S1_only_classu|MSTRG.12777.1.p1	290	
S1_only_classu|MSTRG.12777.1.p5	137	
S1_only_classu|MSTRG.12780.1.p1	476	
S1_only_classu|MSTRG.12784.1.p2	137	
S1_only_classu|MSTRG.12786.1.p1	219	
S1_only_classu|MSTRG.12791.1.p1	238	
S1_only_classu|MSTRG.12795.1.p2	182	
S1_only_classu|MSTRG.12806.1.p1	416	
S1_only_classu|MSTRG.12816.1.p1	703	
S1_only_classu|MSTRG.12816.1.p2	455	
S1_only_classu|MSTRG.12832.1.p2	202	
S1_only_classu|MSTRG.12836.2.p1	518	
S1_only_classu|MSTRG.12845.1.p1	292	
S1_only_classu|MSTRG.1289.1.p1	1817	
S1_only_classu|MSTRG.12898.1.p1	180	
S1_only_classu|MSTRG.12898.1.p2	179	
S1_only_classu|MSTRG.12898.1.p4	103	
S1_only_classu|MSTRG.12934.1.p1	302	
S1_only_classu|MSTRG.12936.1.p1	507	
S1_only_classu|MSTRG.12942.1.p1	452	
S1_only_classu|MSTRG.12946.1.p1	747	
S1_only_classu|MSTRG.12962.1.p1	485	
S1_only_classu|MSTRG.12962.1.p2	329	
S1_only_classu|MSTRG.12971.1.p1	1241	
S1_only_classu|MSTRG.12971.1.p2	251	
S1_only_classu|MSTRG.12986.2.p1	118	
S1_only_classu|MSTRG.12988.1.p1	1157	
S1_only_classu|MSTRG.12988.1.p2	302	
S1_only_classu|MSTRG.12988.1.p6	112	
S1_only_classu|MSTRG.12988.3.p1	302	
S1_only_classu|MSTRG.12988.3.p4	112	
S1_only_classu|MSTRG.13002.1.p1	407	
S1_only_classu|MSTRG.13006.1.p1	973	
S1_only_classu|MSTRG.13006.1.p2	125	
S1_only_classu|MSTRG.13021.1.p1	134	
S1_only_classu|MSTRG.13023.1.p1	518	
S1_only_classu|MSTRG.13023.2.p1	518	
S1_only_classu|MSTRG.13049.2.p4	101	
S1_only_classu|MSTRG.13049.2.p5	101	
S1_only_classu|MSTRG.13065.1.p1	950	
S1_only_classu|MSTRG.1307.1.p1	120	
S1_only_classu|MSTRG.13076.1.p1	1784	
S1_only_classu|MSTRG.13077.1.p1	458	
S1_only_classu|MSTRG.13083.1.p1	277	
S1_only_classu|MSTRG.13092.1.p1	262	
S1_only_classu|MSTRG.13108.1.p1	957	
S1_only_classu|MSTRG.13108.1.p2	293	
S1_only_classu|MSTRG.13108.1.p3	135	
S1_only_classu|MSTRG.13131.1.p1	237	
S1_only_classu|MSTRG.1315.1.p2	142	
S1_only_classu|MSTRG.1319.1.p2	301	
S1_only_classu|MSTRG.1321.1.p1	994	
S1_only_classu|MSTRG.1321.1.p3	308	
S1_only_classu|MSTRG.13212.1.p1	972	
S1_only_classu|MSTRG.13212.1.p2	460	
S1_only_classu|MSTRG.13212.1.p9	102	
S1_only_classu|MSTRG.13222.1.p1	589	
S1_only_classu|MSTRG.13222.1.p2	201	
S1_only_classu|MSTRG.1323.1.p1	101	
S1_only_classu|MSTRG.13238.1.p1	367	
S1_only_classu|MSTRG.13238.1.p2	342	
S1_only_classu|MSTRG.13238.1.p3	261	
S1_only_classu|MSTRG.1324.1.p1	161	
S1_only_classu|MSTRG.13244.1.p1	629	
S1_only_classu|MSTRG.13244.1.p2	603	
S1_only_classu|MSTRG.1326.1.p1	1914	
S1_only_classu|MSTRG.1326.1.p2	398	
S1_only_classu|MSTRG.13274.1.p1	416	
S1_only_classu|MSTRG.13290.1.p1	511	
S1_only_classu|MSTRG.13290.1.p4	100	
S1_only_classu|MSTRG.13295.1.p1	459	
S1_only_classu|MSTRG.13295.1.p2	271	
S1_only_classu|MSTRG.13305.1.p1	602	
S1_only_classu|MSTRG.13307.1.p1	758	
S1_only_classu|MSTRG.13340.1.p1	469	
S1_only_classu|MSTRG.1335.1.p1	160	
S1_only_classu|MSTRG.13350.1.p1	407	
S1_only_classu|MSTRG.13362.1.p1	993	
S1_only_classu|MSTRG.13362.1.p14	117	
S1_only_classu|MSTRG.13362.1.p16	106	
S1_only_classu|MSTRG.13362.1.p2	686	
S1_only_classu|MSTRG.13367.1.p1	371	
S1_only_classu|MSTRG.1338.1.p2	107	
S1_only_classu|MSTRG.13404.1.p1	277	
S1_only_classu|MSTRG.13419.1.p1	389	
S1_only_classu|MSTRG.13420.1.p1	199	
S1_only_classu|MSTRG.1343.1.p1	152	
S1_only_classu|MSTRG.13430.1.p1	1427	
S1_only_classu|MSTRG.13439.1.p1	528	
S1_only_classu|MSTRG.13456.1.p1	167	
S1_only_classu|MSTRG.13456.1.p2	132	
S1_only_classu|MSTRG.13460.1.p1	386	
S1_only_classu|MSTRG.13483.1.p1	123	
S1_only_classu|MSTRG.13490.1.p1	245	
S1_only_classu|MSTRG.13497.1.p1	387	
S1_only_classu|MSTRG.13498.1.p1	141	
S1_only_classu|MSTRG.13499.1.p1	112	
S1_only_classu|MSTRG.13501.1.p1	750	
S1_only_classu|MSTRG.13501.1.p4	112	
S1_only_classu|MSTRG.13504.1.p1	573	
S1_only_classu|MSTRG.13509.1.p1	126	
S1_only_classu|MSTRG.13511.1.p2	193	
S1_only_classu|MSTRG.13511.1.p6	112	
S1_only_classu|MSTRG.13511.1.p9	103	
S1_only_classu|MSTRG.13511.2.p2	193	
S1_only_classu|MSTRG.13511.2.p9	103	
S1_only_classu|MSTRG.13511.3.p3	122	
S1_only_classu|MSTRG.13513.1.p1	512	
S1_only_classu|MSTRG.13513.1.p2	190	
S1_only_classu|MSTRG.13513.1.p8	104	
S1_only_classu|MSTRG.13518.1.p1	193	
S1_only_classu|MSTRG.13522.1.p1	696	
S1_only_classu|MSTRG.13522.1.p2	442	
S1_only_classu|MSTRG.13524.1.p1	269	
S1_only_classu|MSTRG.13524.1.p2	256	
S1_only_classu|MSTRG.13524.1.p5	102	
S1_only_classu|MSTRG.13528.1.p3	122	
S1_only_classu|MSTRG.1353.1.p2	267	
S1_only_classu|MSTRG.1353.1.p4	191	
S1_only_classu|MSTRG.13532.1.p1	567	
S1_only_classu|MSTRG.13537.1.p1	1161	
S1_only_classu|MSTRG.13542.1.p1	2012	
S1_only_classu|MSTRG.13546.1.p1	677	
S1_only_classu|MSTRG.13557.1.p1	540	
S1_only_classu|MSTRG.13568.1.p1	510	
S1_only_classu|MSTRG.13568.1.p2	500	
S1_only_classu|MSTRG.13570.1.p1	344	
S1_only_classu|MSTRG.1358.1.p1	239	
S1_only_classu|MSTRG.1358.1.p2	164	
S1_only_classu|MSTRG.13582.1.p1	478	
S1_only_classu|MSTRG.13588.1.p1	896	
S1_only_classu|MSTRG.13588.1.p4	141	
S1_only_classu|MSTRG.13591.1.p3	115	
S1_only_classu|MSTRG.13606.1.p1	506	
S1_only_classu|MSTRG.13606.1.p2	455	
S1_only_classu|MSTRG.13606.1.p9	126	
S1_only_classu|MSTRG.13626.1.p1	525	
S1_only_classu|MSTRG.13626.1.p2	378	
S1_only_classu|MSTRG.13627.1.p1	1185	
S1_only_classu|MSTRG.13627.1.p3	401	
S1_only_classu|MSTRG.13628.1.p1	787	
S1_only_classu|MSTRG.13653.1.p1	1204	
S1_only_classu|MSTRG.13653.1.p8	115	
S1_only_classu|MSTRG.13692.1.p1	683	
S1_only_classu|MSTRG.13702.1.p1	553	
S1_only_classu|MSTRG.13702.1.p3	122	
S1_only_classu|MSTRG.13727.1.p3	216	
S1_only_classu|MSTRG.13749.1.p1	631	
S1_only_classu|MSTRG.13749.1.p5	107	
S1_only_classu|MSTRG.13757.1.p1	394	
S1_only_classu|MSTRG.13760.1.p2	103	
S1_only_classu|MSTRG.13773.1.p1	1171	
S1_only_classu|MSTRG.13773.1.p2	455	
S1_only_classu|MSTRG.13778.1.p1	300	
S1_only_classu|MSTRG.13778.1.p6	111	
S1_only_classu|MSTRG.13789.1.p1	349	
S1_only_classu|MSTRG.13809.1.p2	173	
S1_only_classu|MSTRG.13815.1.p1	591	
S1_only_classu|MSTRG.13825.1.p1	1594	
S1_only_classu|MSTRG.13840.1.p1	1057	
S1_only_classu|MSTRG.13840.1.p2	415	
S1_only_classu|MSTRG.13841.1.p1	1568	
S1_only_classu|MSTRG.13887.1.p1	1738	
S1_only_classu|MSTRG.13888.1.p1	188	
S1_only_classu|MSTRG.13920.1.p1	467	
S1_only_classu|MSTRG.13929.1.p1	314	
S1_only_classu|MSTRG.13934.1.p1	146	
S1_only_classu|MSTRG.13937.1.p1	292	
S1_only_classu|MSTRG.13947.1.p1	510	
S1_only_classu|MSTRG.13947.1.p2	382	
S1_only_classu|MSTRG.13953.1.p1	1128	
S1_only_classu|MSTRG.13966.1.p1	512	
S1_only_classu|MSTRG.13974.1.p1	238	
S1_only_classu|MSTRG.13974.1.p4	146	
S1_only_classu|MSTRG.13990.1.p1	758	
S1_only_classu|MSTRG.13990.1.p3	150	
S1_only_classu|MSTRG.13996.1.p1	208	
S1_only_classu|MSTRG.14011.1.p1	450	
S1_only_classu|MSTRG.14017.1.p1	530	
S1_only_classu|MSTRG.14017.2.p1	530	
S1_only_classu|MSTRG.14017.3.p1	384	
S1_only_classu|MSTRG.1403.1.p1	255	
S1_only_classu|MSTRG.14032.1.p1	155	
S1_only_classu|MSTRG.14063.1.p1	334	
S1_only_classu|MSTRG.14097.1.p1	119	
S1_only_classu|MSTRG.14097.1.p2	106	
S1_only_classu|MSTRG.14098.2.p1	352	
S1_only_classu|MSTRG.14127.1.p2	108	
S1_only_classu|MSTRG.14136.1.p1	441	
S1_only_classu|MSTRG.14136.1.p10	100	
S1_only_classu|MSTRG.14138.1.p1	159	
S1_only_classu|MSTRG.14138.1.p6	100	
S1_only_classu|MSTRG.14140.1.p1	665	
S1_only_classu|MSTRG.14146.1.p1	431	
S1_only_classu|MSTRG.14146.1.p3	168	
S1_only_classu|MSTRG.14152.1.p1	1479	
S1_only_classu|MSTRG.14152.1.p10	113	
S1_only_classu|MSTRG.14152.1.p2	388	
S1_only_classu|MSTRG.14155.1.p1	367	
S1_only_classu|MSTRG.14155.1.p3	317	
S1_only_classu|MSTRG.14186.1.p1	353	
