gene	uniprot_chig_id	annot_rank	ko_id	kegg_hit	pfam_hits	chig_description	identified_in_proteomics	unique_onetenth	in_model	detected_in_mplex	ko_all	ec_ko_source	ec_number	ec_source
gene_10666	tr|A0A1B7Y8U3|A0A1B7Y8U3_COLHI	C	K00107	D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]	D-arabinono-1,4-lactone oxidase [PF04030.17]	Sugar 1,4-lactone oxidase	YES	True	True	True	K00107	kofam+xlsx	1.1.3.37	kofam/xlsx->KEGG
gene_10749	tr|A0A1B7XTH0|A0A1B7XTH0_COLHI	D			FAD binding domain [PF01494.22]	FAD binding domain-containing protein	YES	True	False	True				
gene_10760	tr|H1VGE1|H1VGE1_COLHI	C	K05293	GPI-anchor transamidase subunit U	GPI transamidase subunit PIG-U [PF06728.16]	GPI transamidase subunit PIG-U	YES	True	False	True	K05293	kofam+xlsx		
gene_1083	tr|A0A1B7Y5G6|A0A1B7Y5G6_COLHI	C	K01771	1-phosphatidylinositol phosphodiesterase [EC:4.6.1.13]	Phosphatidylinositol-specific phospholipase C, X domain [PF00388.22]	1-phosphatidylinositol phosphodiesterase	YES	True	False	True	K01771	kofam+xlsx	4.6.1.13	kofam/xlsx->KEGG
gene_10929	tr|A0A1B7YLT2|A0A1B7YLT2_COLHI	C	K20247	hercynylcysteine S-oxide lyase [EC:4.4.1.36]	Aminotransferase class-V [PF00266.22]	Aminotransferase family protein	YES	True	False	True	K20247	kofam+xlsx	4.4.1.36	kofam/xlsx->KEGG
gene_3710	tr|A0A1B7YD92|A0A1B7YD92_COLHI	D			2OG-Fe(II) oxygenase superfamily [PF03171.23]; Thioredoxin [PF13462.9]	Uncharacterized protein	YES	False	False	True				
gene_11194	tr|A0A1B7XY77|A0A1B7XY77_COLHI	C	K15205	transcription factor C subunit 6		Transcription factor tfiiic complex subunit	YES	True	False	True	K15205	kofam+xlsx		
gene_11256	tr|A0A1B7Y7A9|A0A1B7Y7A9_COLHI	C	K08139	MFS transporter, SP family, sugar:H+ symporter	Sugar (and other) transporter [PF00083.27]; Major Facilitator Superfamily [PF07690.19]	Hexose transporter	YES	True	False	True	K08139	kofam+xlsx		
gene_11288	tr|A0A1B7Y0B4|A0A1B7Y0B4_COLHI	D			CFEM domain [PF05730.14]	CFEM domain-containing protein	YES	True	False	True				
gene_11310	tr|A0A1B7XS29|A0A1B7XS29_COLHI	E				Methyltransferase	YES	True	False	True				
gene_1137	tr|A0A1B7Y8H1|A0A1B7Y8H1_COLHI	D			Multicopper oxidase [PF00394.25]; Multicopper oxidase [PF07732.18]; Multicopper oxidase [PF07731.17]	Multicopper oxidase	YES	True	False	False				
gene_11425	tr|A0A1B7YQY1|A0A1B7YQY1_COLHI	E				Choriogenin Hminor	YES	True	False	True				
gene_11435	tr|A0A1B7YK84|A0A1B7YK84_COLHI	C	K01735	3-dehydroquinate synthase [EC:4.2.3.4]	3-dehydroquinate synthase [PF01761.23]	3-dehydroquinate synthase	YES	True	True	True	K01735	kofam+xlsx	4.2.3.4	kofam/xlsx->KEGG
gene_3350	tr|H1VQ21|H1VQ21_COLHI	D			AAA-ATPase Vps4-associated protein 1 [PF08432.13]	Uncharacterized protein	YES	False	False	True				
gene_11530	tr|A0A1B7YAV5|A0A1B7YAV5_COLHI	D			Major Facilitator Superfamily [PF07690.19]; Thioesterase superfamily [PF03061.25]	Major facilitator superfamily transporter	YES	True	False	True	K08192	kofam		
gene_11539	tr|H1VEA1|H1VEA1_COLHI	E				Concanavalin a-like lectins glucanase	YES	True	False	True				
gene_10572	tr|H1VTU3|H1VTU3_COLHI	D			Anaphase-promoting complex APC subunit CDC26 [PF10471.12]	Uncharacterized protein	YES	False	False	True				
gene_11593	tr|A0A1B7YFK6|A0A1B7YFK6_COLHI	D			short chain dehydrogenase [PF00106.28]	Short-chain dehydrogenase	YES	True	False	True				
gene_11630	tr|A0A1B7YWW5|A0A1B7YWW5_COLHI	D			Carboxylesterase family [PF00135.31]; BD-FAE [PF20434.1]; alpha/beta hydrolase fold [PF07859.16]	Carboxylic ester hydrolase	YES	True	False	False				
gene_11375	tr|A0A1B7XRK9|A0A1B7XRK9_COLHI	C	K02143	F-type H+-transporting ATPase subunit k	ATP synthase subunit K [PF11022.11]	Uncharacterized protein	YES	False	False	True	K02143	kofam+xlsx		
gene_3745	tr|H1V530|H1V530_COLHI	D			Beta/Gamma crystallin [PF08964.13]	Uncharacterized protein	YES	False	False	True				
gene_11932	tr|A0A1B7YSA1|A0A1B7YSA1_COLHI	D			Hydrophobic surface binding protein A [PF12296.11]	Antigenic cell wall	YES	True	False	False				
gene_11968	tr|A0A1B7YI13|A0A1B7YI13_COLHI	C	K03259	translation initiation factor 4E	Eukaryotic initiation factor 4E [PF01652.21]	Eukaryotic initiation factor 4E	YES	True	False	True	K03259	kofam+xlsx		
gene_11987	tr|A0A1B7YCD7|A0A1B7YCD7_COLHI	D			NAD(P)-binding Rossmann-like domain [PF13450.9]	FAD dependent oxidoreductase	YES	True	False	True				
gene_12043	tr|A0A1B7XZS2|A0A1B7XZS2_COLHI	C	K22278	peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]	Polysaccharide deacetylase [PF01522.24]	Polysaccharide deacetylase	YES	True	False	False	K22278	kofam+xlsx	3.5.1.104	kofam/xlsx->KEGG
gene_12141	tr|A0A1B7YBP3|A0A1B7YBP3_COLHI	E				Solid-state culture specific ATP-grasp domain-containing protein	YES	True	False	True				
gene_12150	tr|A0A1B7YGH9|A0A1B7YGH9_COLHI	D			Peptidase family M13 [PF01431.24]; Peptidase family M13 [PF05649.16]	Endothelin-converting enzyme 1	YES	True	False	True				
gene_12178	tr|A0A1B7YT39|A0A1B7YT39_COLHI	D			Cytochrome P450 [PF00067.25]	Cytochrome P450	YES	True	False	True				
gene_4232	tr|H1VNM5|H1VNM5_COLHI	D			CID domain [PF04818.16]; Domain of unknown function (DUF4748) [PF15932.8]	Uncharacterized protein	YES	False	False	True				
gene_12509	tr|A0A1B7XXD9|A0A1B7XXD9_COLHI	D			Serine aminopeptidase, S33 [PF12146.11]; alpha/beta hydrolase fold [PF00561.23]; Alpha/beta hydrolase family [PF12697.10]; Alpha/beta hydrolase of unknown function (DUF1057) [PF06342.15]; Prolyl oligopeptidase family [PF00326.24]	Alpha/beta hydrolase	YES	True	False	True				
gene_12518	tr|H1VQI4|H1VQI4_COLHI	C	K09265	transcription factor RLM1	SRF-type transcription factor (DNA-binding and dimerisation domain) [PF00319.21]	MADS-box MEF2 type transcription factor MIG1	YES	True	False	False	K09265	kofam+xlsx		
gene_12521	tr|A0A1B7YIB3|A0A1B7YIB3_COLHI	C	K11376	elongator complex protein 5	Elongator subunit Iki1 [PF10483.12]; Asx homology domain [PF13919.9]	Elongator complex protein 5	YES	True	False	False	K11376	kofam+xlsx		
gene_12532	tr|H1V527|H1V527_COLHI	D			Cytochrome P450 [PF00067.25]	Cytochrome P450	YES	True	False	True				
gene_12534	tr|A0A1B7YH51|A0A1B7YH51_COLHI	D			Class II Aldolase and Adducin N-terminal domain [PF00596.24]	Class II Aldolase and Adducin domain-containing protein	YES	True	False	False				
gene_12548	tr|A0A1B7YR48|A0A1B7YR48_COLHI	D			Mediator complex subunit 15 [PF05397.15]	C2H2 type zinc finger domain protein	YES	True	False	False				
gene_1263	tr|A0A1B7YTP3|A0A1B7YTP3_COLHI	C	K01183	chitinase [EC:3.2.1.14]	Glycosyl hydrolases family 18 [PF00704.31]	chitinase	YES	True	False	False	K01183	kofam+xlsx	3.2.1.14	kofam/xlsx->KEGG
gene_12675	tr|A0A1B7YMA5|A0A1B7YMA5_COLHI	D			Fungal chitosanase of glycosyl hydrolase group 75 [PF07335.14]	Endo-chitosanase	YES	True	False	False				
gene_2701	tr|A0A1B7XSU5|A0A1B7XSU5_COLHI	D			Conserved hypothetical protein (DUF2461) [PF09365.13]	Uncharacterized protein	YES	False	False	True				
gene_1391	tr|A0A1B7Y5C1|A0A1B7Y5C1_COLHI	E				RING finger domain-containing protein	YES	True	False	False				
gene_11455	tr|H1VK76|H1VK76_COLHI	D			Cytochrome c oxidase subunit VII [PF02238.18]	Uncharacterized protein	YES	False	False	True				
gene_1454	tr|A0A1B7YHU7|A0A1B7YHU7_COLHI	D			Cytochrome P450 [PF00067.25]	Cytochrome P450	YES	True	False	True				
gene_1479	tr|H1V1U7|H1V1U7_COLHI	D			short chain dehydrogenase [PF00106.28]	Short-chain dehydrogenase	YES	True	False	True				
gene_1556	tr|H1V3I0|H1V3I0_COLHI	D			Regulator of G protein signaling domain [PF00615.22]	Rgs domain protein	YES	True	False	True				
gene_1567	tr|A0A1B7YB61|A0A1B7YB61_COLHI	C	K18549	oryzin [EC:3.4.21.63]	Subtilase family [PF00082.25]; Peptidase inhibitor I9 [PF05922.19]	Subtilase	YES	True	False	False	K18549	kofam+xlsx	3.4.21.63	kofam/xlsx->KEGG
gene_1684	tr|A0A1B7XQI6|A0A1B7XQI6_COLHI	D			Protein of unknown function (DUF423) [PF04241.18]	Membrane protein	YES	True	False	True				
gene_1729	tr|A0A1B7Y967|A0A1B7Y967_COLHI	D			short chain dehydrogenase [PF00106.28]	Oxidoreductase	YES	True	False	False				
gene_1756	tr|A0A1B7XWF3|A0A1B7XWF3_COLHI	D			Acyltransferase C-terminus [PF16076.8]; Acyltransferase [PF01553.24]	Acyltransferase	YES	True	False	False				
gene_1767	tr|A0A1B7XSH6|A0A1B7XSH6_COLHI	C	K22889	trichothecene 3-O-acetyltransferase [EC:2.3.1.-]	Transferase family [PF02458.18]	Transferase family protein	YES	True	False	False	K22889	kofam+xlsx	2.3.1.-	kofam/xlsx->KEGG
gene_1951	tr|A0A1B7YA08|A0A1B7YA08_COLHI	C	K12587	exosome complex component MTR3	3' exoribonuclease family, domain 1 [PF01138.24]	3' exoribonuclease	YES	True	False	True	K12587	kofam+xlsx		
gene_2166	tr|A0A1B7XSP6|A0A1B7XSP6_COLHI	C	K13535	cardiolipin-specific phospholipase [EC:3.1.1.-]	Serine aminopeptidase, S33 [PF12146.11]; alpha/beta hydrolase fold [PF00561.23]; Alpha/beta hydrolase family [PF12697.10]; Alpha/beta hydrolase of unknown function (DUF915) [PF06028.14]	Alpha beta hydrolase	YES	True	False	False	K13535	kofam+xlsx	3.1.1.-	kofam/xlsx->KEGG
gene_2174	tr|H1UVM9|H1UVM9_COLHI	D			short chain dehydrogenase [PF00106.28]	Short chain dehydrogenase reductase family protein	YES	True	False	True				
gene_2239	tr|H1VDM0|H1VDM0_COLHI	C	K15921	arabinoxylan arabinofuranohydrolase [EC:3.2.1.55]	Glycosyl hydrolases family 43 [PF04616.17]; Carbohydrate binding module (family 6) [PF03422.18]; DUF5010 C-terminal domain [PF18099.4]	Glycosyl hydrolase family 43	YES	True	False	False	K15921	kofam+xlsx	3.2.1.55	kofam/xlsx->KEGG
gene_2374	tr|A0A1B7YBF8|A0A1B7YBF8_COLHI	C	K00864	glycerol kinase [EC:2.7.1.30]	FGGY family of carbohydrate kinases, N-terminal domain [PF00370.24]; FGGY family of carbohydrate kinases, C-terminal domain [PF02782.19]	glycerol kinase	YES	True	True	True	K00864	kofam+xlsx	2.7.1.30	kofam/xlsx->KEGG
gene_238	tr|A0A1B7YJV8|A0A1B7YJV8_COLHI	C	K13526	cation-transporting P-type ATPase 13A2 [EC:7.2.2.-]	Mycolic acid cyclopropane synthetase [PF02353.23]; P5-type ATPase cation transporter [PF12409.11]; E1-E2 ATPase [PF00122.23]; Methyltransferase domain [PF13847.9]; haloacid dehalogenase-like hydrolase [PF00702.29]; ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF08242.15]; Tellurite resistance protein TehB [PF03848.17]; Cation transport ATPase (P-type) [PF13246.9]	Cation-transporting ATPase	YES	True	False	True	K13526	kofam+xlsx	7.2.2.-	kofam/xlsx->KEGG
gene_2404	tr|A0A1B7Y2L7|A0A1B7Y2L7_COLHI	E				Galactose-proton symport	YES	True	False	True				
gene_241	tr|H1UZL2|H1UZL2_COLHI	C	K02961	small subunit ribosomal protein S17	Ribosomal protein S17 [PF00366.23]	Ribosomal protein S17	YES	True	False	False	K02961	kofam+xlsx		
gene_12703	tr|H1VYT5|H1VYT5_COLHI	D			Cytochrome P450 [PF00067.25]	Uncharacterized protein	YES	False	False	True				
gene_2647	tr|A0A1B7Y0Y6|A0A1B7Y0Y6_COLHI	E				PPE family protein	YES	True	False	True				
gene_2708	tr|H1UX80|H1UX80_COLHI	D			Autophagy receptor ATG43 [PF08589.13]	Duf1770 domain containing protein	YES	True	False	True				
gene_272	tr|A0A1B7YQX7|A0A1B7YQX7_COLHI	D			Protein of unknown function (DUF5672) [PF18922.3]	DUF5672 domain-containing protein	YES	True	False	False				
gene_2494	tr|H1VKJ0|H1VKJ0_COLHI	D			Disordered region of unknown function (DUF5315) [PF17242.5]	Uncharacterized protein	YES	False	False	True				
gene_2725	tr|H1W4Y9|H1W4Y9_COLHI	E				Regulatory P domain-containing protein	YES	True	False	False				
gene_10379	tr|A0A1B7YLJ2|A0A1B7YLJ2_COLHI	D			DNA mismatch repair protein HSM3, N terminal domain [PF18795.4]	Uncharacterized protein	YES	False	False	True				
gene_277	tr|H1VZE6|H1VZE6_COLHI	D			Family of unknown function [PF17615.5]	UVI-1h	YES	True	False	True				
gene_2850	tr|H1UWV0|H1UWV0_COLHI	D			Eukaryotic aspartyl protease [PF00026.26]; Xylanase inhibitor N-terminal [PF14543.9]	Eukaryotic aspartyl protease	YES	True	False	True				
gene_2871	tr|A0A1B7XX60|A0A1B7XX60_COLHI	C	K19305	deuterolysin [EC:3.4.24.39]	Deuterolysin metalloprotease (M35) family [PF02102.18]; Lysine-specific metallo-endopeptidase [PF14521.9]	Neutral protease 2	YES	True	False	False	K19305	kofam+xlsx	3.4.24.39	kofam/xlsx->KEGG
gene_2872	tr|H1VMM3|H1VMM3_COLHI	C	K02992	small subunit ribosomal protein S7	Ribosomal protein S7p/S5e [PF00177.24]	Small ribosomal subunit protein uS7m	YES	True	False	True	K02992	kofam+xlsx		
gene_2898	tr|H1VJW3|H1VJW3_COLHI	E				CRIB domain-containing protein	YES	True	False	True				
gene_2944	tr|H1VDT3|H1VDT3_COLHI	D			CHRD domain [PF07452.15]	CHRD domain-containing protein	YES	True	False	True				
gene_297	tr|H1VCW9|H1VCW9_COLHI	D				GDSL-like Lipase/Acylhydrolase	YES	True	False	False				
gene_3103	tr|A0A1B7YCJ6|A0A1B7YCJ6_COLHI	C	K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	Hydroxymethylglutaryl-coenzyme A reductase [PF00368.21]; N-terminal domain with HPIH motif [PF13323.9]; Sterol-sensing domain of SREBP cleavage-activation [PF12349.11]	3-hydroxy-3-methylglutaryl coenzyme A reductase	YES	True	True	False	K00021	kofam+xlsx	1.1.1.34	kofam/xlsx->KEGG
gene_3168	tr|H1V1I1|H1V1I1_COLHI	C	K20285	Rab9 effector protein with kelch motifs	Kelch motif [PF01344.28]; Galactose oxidase, central domain [PF13418.9]; Kelch motif [PF07646.18]; Kelch motif [PF13854.9]; Kelch motif [PF13964.9]; Galactose oxidase, central domain [PF13415.9]	Kelch domain-containing protein	YES	True	False	True	K20285	kofam+xlsx		
gene_3188	tr|A0A1B7XXX1|A0A1B7XXX1_COLHI	D			WSC domain [PF01822.22]	Legume lectin beta domain-containing protein	YES	True	False	True				
gene_2798	tr|A0A1B7YF13|A0A1B7YF13_COLHI	D			Domain of unknown function (DUF4419) [PF14388.9]	Uncharacterized protein	YES	False	False	True				
gene_3368	tr|H1VJ77|H1VJ77_COLHI	D			GDP-fucose protein O-fucosyltransferase [PF10250.12]	Alternative oxidase	YES	True	False	True				
gene_3429	tr|A0A1B7XRJ7|A0A1B7XRJ7_COLHI	D			SMP-30/Gluconolactonase/LRE-like region [PF08450.15]	Gluconolactonase	YES	True	False	False				
gene_343	tr|A0A1B7XW09|A0A1B7XW09_COLHI	D			Alpha/beta hydrolase family [PF12697.10]	FAD binding domain-containing protein	YES	True	False	False				
gene_12790	tr|H1VLD8|H1VLD8_COLHI	D			Domain of unknown function (DUF5102) [PF17104.8]	Uncharacterized protein	YES	False	False	True				
gene_3440	tr|A0A1B7YJD4|A0A1B7YJD4_COLHI	C	K07019	uncharacterized protein	Serine aminopeptidase, S33 [PF12146.11]	Alpha beta fold family	YES	True	True	True	K07019	kofam+xlsx		
gene_347	tr|H1V183|H1V183_COLHI	D			Fungal specific transcription factor domain [PF04082.21]; Fungal Zn(2)-Cys(6) binuclear cluster domain [PF00172.21]	Transcription factor	YES	True	False	False				
gene_3477	tr|A0A1B7YIH0|A0A1B7YIH0_COLHI	C	K13110	microfibrillar-associated protein 1	Microfibril-associated/Pre-mRNA processing [PF06991.14]	Microfibrillar-associated protein MfaP1	YES	True	False	False	K13110	kofam+xlsx		
gene_3574	tr|H1VZ63|H1VZ63_COLHI	D			Uncharacterized alpha/beta hydrolase domain (DUF2235) [PF09994.12]	Peptidoglycan binding domain-containing protein	YES	True	False	True				
gene_3607	tr|H1UYJ9|H1UYJ9_COLHI	D			Phosphoribulokinase / Uridine kinase family [PF00485.21]	Phosphoribulokinase/uridine kinase	YES	True	False	False				
gene_3717	tr|A0A1B7YK04|A0A1B7YK04_COLHI	D			WSC domain [PF01822.22]; Glycosyl hydrolases family 16 [PF00722.24]	Mixed-linked glucanase	YES	True	False	True				
gene_3763	tr|H1VB45|H1VB45_COLHI	C	K20299	vacuolar protein sorting-associated protein 53	Vps53-like, N-terminal [PF04100.15]; Vacuolar protein sorting-associated protein 53 C-terminus [PF16854.8]	Garp complex subunit vps53	YES	True	False	True	K20299	kofam+xlsx		
gene_3864	tr|H1V2B3|H1V2B3_COLHI	C	K18176	cytochrome c oxidase assembly factor 3, fungi type	Cytochrome c oxidase assembly factor 3 [PF09813.12]	Cytochrome c oxidase assembly factor 3	YES	True	False	True	K18176	kofam+xlsx		
gene_3904	tr|H1V2V4|H1V2V4_COLHI	D			Ring hydroxylating alpha subunit (catalytic domain) [PF00848.22]; Rieske [2Fe-2S] domain [PF00355.29]	Choline monooxygenase, chloroplastic	YES	True	False	False				
gene_3958	tr|A0A1B7YH64|A0A1B7YH64_COLHI	D			Cytochrome domain of cellobiose dehydrogenase [PF16010.8]; SMP-30/Gluconolactonase/LRE-like region [PF08450.15]	Carbohydrate-binding cytochrome b562	YES	True	False	True				
gene_3976	tr|H1VGD2|H1VGD2_COLHI	D			Serine aminopeptidase, S33 [PF12146.11]; alpha/beta hydrolase fold [PF00561.23]; Alpha/beta hydrolase of unknown function (DUF1057) [PF06342.15]	Alpha beta hydrolase family	YES	True	False	True				
gene_7456	tr|A0A1B7Y5F2|A0A1B7Y5F2_COLHI	D			Family of unknown function (DUF5308) [PF17233.5]	Uncharacterized protein	YES	False	False	True				
gene_4129	tr|A0A1B7YI16|A0A1B7YI16_COLHI	D			Cytochrome P450 [PF00067.25]	Cytochrome P450	YES	True	False	True				
gene_4149	tr|A0A1B7XZ36|A0A1B7XZ36_COLHI	C	K01512	acylphosphatase [EC:3.6.1.7]	Acylphosphatase [PF00708.21]	Acylphosphatase	YES	True	False	True	K01512	kofam+xlsx	3.6.1.7	kofam/xlsx->KEGG
gene_4169	tr|H1VIC5|H1VIC5_COLHI	E				WAP domain-containing protein	YES	True	False	True				
gene_4176	tr|H1VHR4|H1VHR4_COLHI	C	K15287	solute carrier family 35, member F1/2	Solute carrier family 35 [PF06027.15]	Duf914 domain membrane protein	YES	True	False	True	K15287	kofam+xlsx		
gene_4280	tr|A0A1B7Y7F9|A0A1B7Y7F9_COLHI	D			Aconitase family (aconitate hydratase) [PF00330.23]; Aconitase C-terminal domain [PF00694.22]	Aconitase	YES	True	False	True				
gene_4306	tr|H1VRJ0|H1VRJ0_COLHI	D			Cysteine-rich secretory protein family [PF00188.29]	SCP-like extracellular protein	YES	True	False	True				
gene_4356	tr|A0A1B7XYR3|A0A1B7XYR3_COLHI	D			Subtilase family [PF00082.25]; Fn3-like domain [PF06280.15]	Subtilase	YES	True	False	False				
gene_443	tr|H1VVN4|H1VVN4_COLHI	C	K02155	V-type H+-transporting ATPase 16kDa proteolipid subunit	ATP synthase subunit C [PF00137.24]	V-type proton ATPase proteolipid subunit	YES	True	True	True	K02155	kofam+xlsx		
gene_4514	tr|H1W143|H1W143_COLHI	D			GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; RmlD substrate binding domain [PF04321.20]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; Polysaccharide biosynthesis protein [PF02719.18]; Male sterility protein [PF07993.15]; NAD(P)H-binding [PF13460.9]	dTDP-glucose 4,6-dehydratase	YES	True	False	True				
gene_4243	tr|A0A1B7YLU3|A0A1B7YLU3_COLHI	C	K17782	mitochondrial intermembrane space import and assembly protein 40	Family of unknown function (DUF5353) [PF17304.5]	Uncharacterized protein	YES	False	False	True	K17782	kofam+xlsx		
gene_461	tr|A0A1B7YTM9|A0A1B7YTM9_COLHI	E				Conidiation-specific expression protein	YES	True	False	False				
gene_8051	tr|H1W2R4|H1W2R4_COLHI	D			Family of unknown function (DUF5872) [PF19197.3]	Uncharacterized protein	YES	False	False	True				
gene_4694	tr|H1VFP1|H1VFP1_COLHI	D			Uncharacterized alpha/beta hydrolase domain (DUF2235) [PF09994.12]	Peptidoglycan binding domain-containing protein	YES	True	False	True				
gene_4698	tr|A0A1B7Y3I9|A0A1B7Y3I9_COLHI	D			LysM domain [PF01476.23]	Intracellular hyphae protein 1	YES	True	False	False				
gene_4707	tr|A0A1B7Y877|A0A1B7Y877_COLHI	D			Phosphotransferase enzyme family [PF01636.26]; Choline/ethanolamine kinase [PF01633.23]	Aminoglycoside phosphotransferase domain-containing protein	YES	True	False	False				
gene_4768	tr|A0A1B7YHG7|A0A1B7YHG7_COLHI	D			GDSL-like Lipase/Acylhydrolase family [PF13472.9]	GDSL-like Lipase/Acylhydrolase	YES	True	False	True				
gene_4812	tr|A0A1B7Y0R3|A0A1B7Y0R3_COLHI	C	K09955	uncharacterized protein	Beta-L-arabinofuranosidase, GH127 [PF07944.15]	Secreted protein	YES	True	False	False	K09955	kofam+xlsx		
gene_4880	tr|H1UVA2|H1UVA2_COLHI	E				FAD dependent oxidoreductase	YES	True	False	True				
gene_4911	tr|H1VYY2|H1VYY2_COLHI	C	K03448	MFS transporter, ACS family, pantothenate transporter	Major Facilitator Superfamily [PF07690.19]	Major facilitator superfamily transporter	YES	True	False	False	K03448;K08192	kofam+xlsx		
gene_9944	tr|A0A1B7YWS0|A0A1B7YWS0_COLHI	D			Fungal fucose-specific lectin [PF07938.15]	Uncharacterized protein	YES	False	False	True				
gene_4981	tr|H1VUD3|H1VUD3_COLHI	E				Altered inheritance of mitochondria protein 19	YES	True	False	False				
gene_4990	tr|A0A1B7XSQ7|A0A1B7XSQ7_COLHI	E				TPR domain-containing protein	YES	True	False	False				
gene_5011	tr|A0A1B7YUT8|A0A1B7YUT8_COLHI	E				Probable beta-glucosidase btgE	YES	True	False	False				
gene_5140	tr|H1VD93|H1VD93_COLHI	D			Inhibitor of Apoptosis domain [PF00653.24]	Chromosome segregation protein BIR1	YES	True	False	True				
gene_5256	tr|A0A1B7Y9G3|A0A1B7Y9G3_COLHI	D			Thioesterase-like superfamily [PF13622.9]; Acyl-CoA thioesterase [PF02551.18]	Acyl-CoA thioesterase II	YES	True	True	False				
gene_549	tr|H1VFA1|H1VFA1_COLHI	C	K19356	lytic cellulose monooxygenase (C1-hydroxylating) [EC:1.14.99.54]	Auxiliary Activity family 9 (formerly GH61) [PF03443.17]; Fungal cellulose binding domain [PF00734.21]	lytic cellulose monooxygenase (C4-dehydrogenating)	YES	True	False	True	K19356	kofam+xlsx	1.14.99.54	kofam/xlsx->KEGG
gene_5850	tr|H1V1A4|H1V1A4_COLHI	C	K05972	acetylxylan esterase [EC:3.1.1.72]	Esterase PHB depolymerase [PF10503.12]; Prolyl oligopeptidase family [PF00326.24]	Carboxylic ester hydrolase	YES	True	False	False	K05972	kofam+xlsx	3.1.1.72	kofam/xlsx->KEGG
gene_5901	tr|H1VNI6|H1VNI6_COLHI	C	K24684	AN1-type zinc finger protein 1	AN1-like Zinc finger [PF01428.19]	AN1-like Zinc finger	YES	True	False	False	K24684	kofam+xlsx		
gene_591	tr|H1V5C1|H1V5C1_COLHI	E				Regulator of G protein signaling superfamily	YES	True	False	False				
gene_596	tr|H1V4L8|H1V4L8_COLHI	C	K20300	trafficking protein particle complex subunit 1	Sybindin-like family [PF04099.15]	Trafficking protein particle complex subunit	YES	True	False	False	K20300	kofam+xlsx		
gene_5970	tr|A0A1B7YEG9|A0A1B7YEG9_COLHI	D			Glycosyl hydrolases family 43 [PF04616.17]; Carbohydrate binding module (family 35) [PF16990.8]	Glycosyl hydrolase family 43 protein	YES	True	False	False				
gene_5978	tr|A0A1B7YNK1|A0A1B7YNK1_COLHI	C	K14862	nucleolar pre-ribosomal-associated protein 2	Urb2/Npa2 family [PF10441.12]	Urb2/Npa2 family protein	YES	True	False	True	K14862	kofam+xlsx		
