gene	ko	ko_source	ec
S1_only_classu|MSTRG.10442.1.p3	K10734	kofam	
S1_only_classu|MSTRG.10496.1.p1	K02882	kofam	
S1_only_classu|MSTRG.10496.2.p1	K02882	kofam	
S1_only_classu|MSTRG.10608.1.p3	K07127	kofam	3.5.2.17
S1_only_classu|MSTRG.10608.2.p3	K07127	kofam	3.5.2.17
S1_only_classu|MSTRG.10652.1.p1	K03850	kofam	2.4.1.256
S1_only_classu|MSTRG.10652.1.p2	K03850	kofam	2.4.1.256
S1_only_classu|MSTRG.10728.1.p1	K00669	kofam	2.3.1.87
S1_only_classu|MSTRG.10729.1.p1	K00059	kofam	1.1.1.100
S1_only_classu|MSTRG.10802.1.p1	K03380	kofam	1.14.13.7
S1_only_classu|MSTRG.10859.1.p1	K03671	kofam	
S1_only_classu|MSTRG.1086.1.p3	K14396	kofam	
S1_only_classu|MSTRG.10882.1.p1	K11246	kofam	
S1_only_classu|MSTRG.10928.1.p1	K09602	kofam	3.4.19.12
S1_only_classu|MSTRG.10933.1.p1	K07975	kofam	
S1_only_classu|MSTRG.10952.1.p1	K15394	kofam	
S1_only_classu|MSTRG.10956.1.p1	K07375	kofam	
S1_only_classu|MSTRG.11011.1.p1	K07300	kofam	
S1_only_classu|MSTRG.11032.1.p1	K06072	kofam	1.14.99.29
S1_only_classu|MSTRG.11033.1.p2	K03593	kofam	
S1_only_classu|MSTRG.11104.1.p1	K00382	kofam	1.8.1.4
S1_only_classu|MSTRG.11108.1.p1	K18587	kofam	
S1_only_classu|MSTRG.11197.1.p1	K15026	kofam	
S1_only_classu|MSTRG.11210.1.p1	K15561	kofam	
S1_only_classu|MSTRG.11258.1.p1	K05767	kofam	
S1_only_classu|MSTRG.11277.1.p1	K09275	kofam	
S1_only_classu|MSTRG.11293.1.p1	K08735	kofam	
S1_only_classu|MSTRG.11326.1.p1	K03033	kofam	
S1_only_classu|MSTRG.11332.1.p2	K02128	kofam	
S1_only_classu|MSTRG.11374.2.p1	K11229	kofam	2.7.11.25
S1_only_classu|MSTRG.11414.1.p1	K24139	kofam	
S1_only_classu|MSTRG.11631.1.p1	K01487	kofam	3.5.4.3
S1_only_classu|MSTRG.11647.1.p1	K06215	kofam	4.3.3.6
S1_only_classu|MSTRG.11655.1.p1	K06677	kofam	
S1_only_classu|MSTRG.11844.1.p1	K01858	kofam	5.5.1.4
S1_only_classu|MSTRG.11874.1.p1	K20360	kofam	
S1_only_classu|MSTRG.11879.1.p1	K17066	kofam	1.1.3.13
S1_only_classu|MSTRG.11880.1.p1	K13303	kofam	2.7.11.1
S1_only_classu|MSTRG.11880.1.p2	K01810	kofam	5.3.1.9
S1_only_classu|MSTRG.11880.2.p1	K13303	kofam	2.7.11.1
S1_only_classu|MSTRG.11880.2.p2	K01810	kofam	5.3.1.9
S1_only_classu|MSTRG.11880.3.p1	K01810	kofam	5.3.1.9
S1_only_classu|MSTRG.11891.1.p1	K00254	kofam	1.3.5.2
S1_only_classu|MSTRG.11904.1.p1	K12462	kofam	
S1_only_classu|MSTRG.11938.1.p1	K01181	kofam	3.2.1.8
S1_only_classu|MSTRG.12028.1.p1	K22210	kofam	4.2.1.48
S1_only_classu|MSTRG.12041.1.p1	K01264	kofam	3.4.11.15
S1_only_classu|MSTRG.12090.1.p1	K00318	kofam	1.5.5.2
S1_only_classu|MSTRG.12167.1.p1	K14561	kofam	
S1_only_classu|MSTRG.12183.1.p6	K01792	kofam	5.1.3.15
S1_only_classu|MSTRG.12199.1.p1	K23499	kofam	
S1_only_classu|MSTRG.12202.1.p1	K19846	kofam	
S1_only_classu|MSTRG.12228.1.p1	K16073	kofam	
S1_only_classu|MSTRG.12242.1.p2	K00227	kofam	1.14.19.20
S1_only_classu|MSTRG.12271.1.p1	K09272	kofam	
S1_only_classu|MSTRG.12278.1.p3	K03111	kofam	
S1_only_classu|MSTRG.12299.1.p1	K00161;K03361	kofam	1.2.4.1
S1_only_classu|MSTRG.12299.1.p2	K10747	kofam	6.5.1.1;6.5.1.6;6.5.1.7
S1_only_classu|MSTRG.12319.1.p1	K04345	kofam	2.7.11.11
S1_only_classu|MSTRG.1234.1.p1	K23451	kofam	3.1.3.114
S1_only_classu|MSTRG.12350.1.p1	K06269	kofam	3.1.3.16
S1_only_classu|MSTRG.12396.1.p1	K17656	kofam	
S1_only_classu|MSTRG.12397.1.p1	K12830	kofam	
S1_only_classu|MSTRG.12402.1.p1	K01070	kofam	3.1.2.12
S1_only_classu|MSTRG.12404.1.p1	K11155	kofam	2.3.1.20;2.3.1.75;2.3.1.76
S1_only_classu|MSTRG.12404.1.p2	K00587	kofam	2.1.1.100
S1_only_classu|MSTRG.12404.1.p3	K00661	kofam	2.3.1.79
S1_only_classu|MSTRG.12419.1.p1	K04393	kofam	
S1_only_classu|MSTRG.12429.1.p1	K05012	kofam	
S1_only_classu|MSTRG.12449.1.p1	K01279	kofam	3.4.14.9
S1_only_classu|MSTRG.12470.1.p1	K20410	kofam	
S1_only_classu|MSTRG.12480.1.p1	K11853	kofam	3.4.19.12
S1_only_classu|MSTRG.12502.1.p1	K20407	kofam	
S1_only_classu|MSTRG.12502.1.p2	K20407	kofam	
S1_only_classu|MSTRG.12502.1.p3	K15206	kofam	
S1_only_classu|MSTRG.12515.1.p4	K01057	kofam	3.1.1.31
S1_only_classu|MSTRG.1258.1.p1	K11339	kofam	
S1_only_classu|MSTRG.12591.1.p1	K09554	kofam	
S1_only_classu|MSTRG.12630.1.p1	K11341	kofam	
S1_only_classu|MSTRG.12638.1.p1	K15174	kofam	
S1_only_classu|MSTRG.12641.1.p1	K24976	kofam	
S1_only_classu|MSTRG.12655.1.p1	K11664	kofam	
S1_only_classu|MSTRG.12655.1.p2	K17900	kofam	3.1.1.3
S1_only_classu|MSTRG.1266.1.p1	K06027	kofam	3.6.4.6
S1_only_classu|MSTRG.12660.1.p1	K11559	kofam	
S1_only_classu|MSTRG.12663.1.p1	K12817	kofam	
S1_only_classu|MSTRG.1267.1.p4	K09550	kofam	
S1_only_classu|MSTRG.12715.1.p1	K11680	kofam	
S1_only_classu|MSTRG.12716.1.p1	K23499	kofam	
S1_only_classu|MSTRG.12748.1.p1	K03392;K06176	kofam	4.1.1.45;5.4.99.27
S1_only_classu|MSTRG.12795.1.p2	K02134	kofam	
S1_only_classu|MSTRG.12816.1.p1	K08287	kofam	2.7.12.1
S1_only_classu|MSTRG.12845.1.p1	K01433	kofam	3.5.1.10
S1_only_classu|MSTRG.1289.1.p1	K06681	kofam	
S1_only_classu|MSTRG.12936.1.p1	K03854	kofam	2.4.1.-
S1_only_classu|MSTRG.12946.1.p1	K17922	kofam	
S1_only_classu|MSTRG.12971.1.p1	K26118	kofam	
S1_only_classu|MSTRG.12988.1.p1	K15505	kofam	5.6.2.-
S1_only_classu|MSTRG.13006.1.p1	K01183	kofam	3.2.1.14
S1_only_classu|MSTRG.13021.1.p1	K06893	kofam	
S1_only_classu|MSTRG.13023.1.p1	K05917	kofam	1.14.14.154;1.14.15.36
S1_only_classu|MSTRG.13023.2.p1	K05917	kofam	1.14.14.154;1.14.15.36
S1_only_classu|MSTRG.13076.1.p1	K00698	kofam	2.4.1.16
S1_only_classu|MSTRG.13108.1.p2	K15323	kofam	4.6.1.16
S1_only_classu|MSTRG.1315.1.p2	K11251	kofam	
S1_only_classu|MSTRG.1319.1.p2	K19356	kofam	1.14.99.54
S1_only_classu|MSTRG.1321.1.p1	K23319	kofam	1.14.14.-
S1_only_classu|MSTRG.13212.1.p1	K16369	kofam	2.1.1.17
S1_only_classu|MSTRG.13212.1.p2	K07404	kofam	3.1.1.31
S1_only_classu|MSTRG.13222.1.p1	K14360	kofam	
S1_only_classu|MSTRG.13238.1.p1	K17606	kofam	
S1_only_classu|MSTRG.1326.1.p1	K15317	kofam	
S1_only_classu|MSTRG.13295.1.p1	K03062	kofam	
S1_only_classu|MSTRG.13295.1.p2	K20523	kofam	
S1_only_classu|MSTRG.13340.1.p1	K23322	kofam	1.-.-.-
S1_only_classu|MSTRG.13362.1.p1	K24766	kofam	
S1_only_classu|MSTRG.13439.1.p1	K00963	kofam	2.7.7.9
S1_only_classu|MSTRG.13456.1.p1	K02179	kofam	
S1_only_classu|MSTRG.13460.1.p1	K07297	kofam	
S1_only_classu|MSTRG.13483.1.p1	K19770	kofam	3.1.-.-
S1_only_classu|MSTRG.13513.1.p1	K15378	kofam	
S1_only_classu|MSTRG.13522.1.p2	K22684	kofam	3.4.22.-
S1_only_classu|MSTRG.13528.1.p3	K13974	kofam	
S1_only_classu|MSTRG.1353.1.p2	K10847	kofam	
S1_only_classu|MSTRG.1353.1.p4	K10847;K27165	kofam	
S1_only_classu|MSTRG.13537.1.p1	K11126	kofam	2.7.7.49
S1_only_classu|MSTRG.13542.1.p1	K20705	kofam	
S1_only_classu|MSTRG.13568.1.p1	K01179	kofam	3.2.1.4
S1_only_classu|MSTRG.13627.1.p1	K00021	kofam	1.1.1.34
S1_only_classu|MSTRG.13692.1.p1	K06067	kofam	3.5.1.98
S1_only_classu|MSTRG.13702.1.p1	K01062	kofam	3.1.1.47
S1_only_classu|MSTRG.13727.1.p3	K14686	kofam	
S1_only_classu|MSTRG.13789.1.p1	K01181	kofam	3.2.1.8
S1_only_classu|MSTRG.13929.1.p1	K00872;K01933	kofam	2.7.1.39;6.3.3.1
S1_only_classu|MSTRG.13947.1.p1	K03857	kofam	2.4.1.198
S1_only_classu|MSTRG.13996.1.p1	K02995	kofam	
S1_only_classu|MSTRG.14011.1.p1	K07561	kofam	2.5.1.108
S1_only_classu|MSTRG.14032.1.p1	K02898	kofam	
S1_only_classu|MSTRG.14063.1.p1	K00077	kofam	1.1.1.169
S1_only_classu|MSTRG.14098.2.p1	K18328	kofam	3.1.-.-
S1_only_classu|MSTRG.14146.1.p3	K12734	kofam	5.2.1.8
S1_only_classu|MSTRG.14152.1.p2	K03036	kofam	
S1_only_classu|MSTRG.14155.1.p1	K20823	kofam	
S1_only_classu|MSTRG.14155.1.p3	K13354	kofam	
S1_only_classu|MSTRG.14186.1.p1	K10756	kofam	
S1_only_classu|MSTRG.14188.1.p1	K01889	kofam	6.1.1.20
S1_only_classu|MSTRG.14242.1.p1	K04077	kofam	5.6.1.7
S1_only_classu|MSTRG.14243.1.p2	K23388	kofam	
S1_only_classu|MSTRG.14245.1.p1	K00336;K03934	kofam	7.1.1.2
S1_only_classu|MSTRG.14248.1.p1	K25304	kofam	
S1_only_classu|MSTRG.14277.1.p1	K22386	kofam	
S1_only_classu|MSTRG.14279.1.p1	K14005	kofam	
S1_only_classu|MSTRG.14288.1.p1	K10524	kofam	2.7.1.173;2.7.1.22
S1_only_classu|MSTRG.14311.1.p1	K03510	kofam	2.7.7.7
S1_only_classu|MSTRG.14347.1.p1	K05532	kofam	2.4.1.-
S1_only_classu|MSTRG.14351.1.p1	K11592	kofam	3.1.26.-
S1_only_classu|MSTRG.14413.1.p1	K00164	kofam	1.2.4.2
S1_only_classu|MSTRG.14461.1.p1	K27833	kofam	
S1_only_classu|MSTRG.14486.1.p1	K28214	kofam	5.4.99.9
S1_only_classu|MSTRG.14515.1.p2	K01875	kofam	6.1.1.11
S1_only_classu|MSTRG.14516.1.p2	K01875	kofam	6.1.1.11
S1_only_classu|MSTRG.14517.1.p1	K15338	kofam	3.1.-.-
S1_only_classu|MSTRG.14549.1.p1	K00456	kofam	1.13.11.20
S1_only_classu|MSTRG.147.1.p1	K10413	kofam	
S1_only_classu|MSTRG.14722.1.p1	K01764	kofam	4.4.1.17
S1_only_classu|MSTRG.14722.1.p3	K17417	kofam	
S1_only_classu|MSTRG.14795.1.p2	K22134	kofam	
S1_only_classu|MSTRG.14795.1.p5	K05972	kofam	3.1.1.72
S1_only_classu|MSTRG.14795.1.p6	K05972	kofam	3.1.1.72
S1_only_classu|MSTRG.14796.1.p1	K01930	kofam	6.3.2.17
S1_only_classu|MSTRG.14796.1.p2	K01930	kofam	6.3.2.17
S1_only_classu|MSTRG.148.1.p2	K00997	kofam	2.7.8.7
S1_only_classu|MSTRG.14850.1.p2	K10866	kofam	3.6.-.-
S1_only_classu|MSTRG.14878.1.p1	K27388	kofam	
S1_only_classu|MSTRG.14908.1.p1	K19487	kofam	
S1_only_classu|MSTRG.14908.1.p2	K19487	kofam	
S1_only_classu|MSTRG.14919.1.p1	K14552	kofam	
S1_only_classu|MSTRG.14940.1.p1	K20178	kofam	
S1_only_classu|MSTRG.1495.1.p1	K18468	kofam	
S1_only_classu|MSTRG.14953.1.p1	K07126;K14026	kofam	
S1_only_classu|MSTRG.14953.2.p1	K07126;K14026	kofam	
S1_only_classu|MSTRG.14953.2.p2	K07126	kofam	
S1_only_classu|MSTRG.14968.1.p1	K12852	kofam	
S1_only_classu|MSTRG.14979.1.p1	K09265	kofam	
S1_only_classu|MSTRG.14980.1.p1	K11644	kofam	
S1_only_classu|MSTRG.14982.1.p1	K01872	kofam	6.1.1.7
S1_only_classu|MSTRG.14991.1.p4	K03145	kofam	
S1_only_classu|MSTRG.15006.1.p1	K00759	kofam	2.4.2.7
S1_only_classu|MSTRG.15036.1.p1	K20813	kofam	3.2.2.29
S1_only_classu|MSTRG.15040.1.p1	K23093	kofam	3.1.4.-
S1_only_classu|MSTRG.15072.1.p2	K12184	kofam	
S1_only_classu|MSTRG.15092.1.p1	K11446	kofam	1.14.11.67
S1_only_classu|MSTRG.15145.1.p2	K03098	kofam	
S1_only_classu|MSTRG.1518.1.p1	K05349	kofam	3.2.1.21
S1_only_classu|MSTRG.15235.1.p1	K22884	kofam	2.3.1.-
S1_only_classu|MSTRG.15235.1.p2	K12389	kofam	
S1_only_classu|MSTRG.15256.1.p1	K08744;K21631	kofam	2.7.8.41
S1_only_classu|MSTRG.15261.1.p1	K08066	kofam	
S1_only_classu|MSTRG.15266.1.p1	K08337	kofam	
S1_only_classu|MSTRG.15278.1.p1	K08967	kofam	1.13.11.53;1.13.11.54
S1_only_classu|MSTRG.15279.1.p1	K13989	kofam	
S1_only_classu|MSTRG.15319.1.p1	K13025	kofam	5.6.2.7
S1_only_classu|MSTRG.1559.1.p2	K12826	kofam	
S1_only_classu|MSTRG.156.1.p1	K15449	kofam	4.1.3.44
S1_only_classu|MSTRG.156.1.p3	K17770	kofam	
S1_only_classu|MSTRG.1586.1.p1	K00683	kofam	2.3.2.5
S1_only_classu|MSTRG.1632.1.p1	K15430	kofam	2.1.1.214
S1_only_classu|MSTRG.1718.1.p1	K15196	kofam	
S1_only_classu|MSTRG.1781.1.p1	K01426	kofam	3.5.1.4
S1_only_classu|MSTRG.1840.1.p1	K00641	kofam	2.3.1.31;2.3.1.46
S1_only_classu|MSTRG.1842.1.p2	K01501;K10675	kofam	3.5.5.1;4.2.1.66
S1_only_classu|MSTRG.1866.1.p1	K23114	kofam	3.1.3.-
S1_only_classu|MSTRG.1914.1.p1	K00276	kofam	1.4.3.21
S1_only_classu|MSTRG.1914.2.p1	K00276	kofam	1.4.3.21
S1_only_classu|MSTRG.1916.1.p1	K05528	kofam	2.4.1.232
S1_only_classu|MSTRG.1937.1.p1	K16261	kofam	
S1_only_classu|MSTRG.1953.1.p1	K00844	kofam	2.7.1.1
S1_only_classu|MSTRG.1953.1.p2	K20793	kofam	2.3.1.258;2.3.1.309
S1_only_classu|MSTRG.1967.1.p1	K01974	kofam	6.5.1.4
S1_only_classu|MSTRG.197.1.p1	K04486	kofam	3.1.3.15
S1_only_classu|MSTRG.2051.1.p1	K20832	kofam	3.2.1.181
S1_only_classu|MSTRG.209.1.p2	K19366	kofam	
S1_only_classu|MSTRG.2129.1.p1	K06699	kofam	
S1_only_classu|MSTRG.2135.1.p1	K07542	kofam	2.4.1.-
S1_only_classu|MSTRG.2260.1.p2	K00988	kofam	2.7.7.5;2.7.7.53
S1_only_classu|MSTRG.2260.1.p3	K28100	kofam	3.6.1.-
S1_only_classu|MSTRG.2314.1.p1	K26405	kofam	
S1_only_classu|MSTRG.2403.1.p1	K20195	kofam	
S1_only_classu|MSTRG.2416.1.p1	K09549	kofam	
S1_only_classu|MSTRG.2417.1.p1	K08065	kofam	
S1_only_classu|MSTRG.2420.1.p1	K15263	kofam	
S1_only_classu|MSTRG.2420.1.p2	K13346	kofam	2.3.2.27
S1_only_classu|MSTRG.2425.1.p1	K01950	kofam	6.3.5.1
S1_only_classu|MSTRG.2449.1.p1	K14553	kofam	
S1_only_classu|MSTRG.2468.1.p1	K27103	kofam	
S1_only_classu|MSTRG.2474.1.p1	K12488	kofam	
S1_only_classu|MSTRG.2500.1.p2	K13993	kofam	
S1_only_classu|MSTRG.2615.1.p1	K10585	kofam	2.3.2.23
S1_only_classu|MSTRG.2619.1.p1	K14015	kofam	
S1_only_classu|MSTRG.2621.1.p1	K12854	kofam	5.6.2.6
S1_only_classu|MSTRG.2621.2.p1	K12854	kofam	5.6.2.6
S1_only_classu|MSTRG.2636.1.p1	K01191	kofam	3.2.1.24
S1_only_classu|MSTRG.264.1.p1	K01338	kofam	3.4.21.53
S1_only_classu|MSTRG.2641.1.p2	K15443	kofam	
S1_only_classu|MSTRG.2641.1.p5	K02941	kofam	
S1_only_classu|MSTRG.2642.1.p1	K15443	kofam	
S1_only_classu|MSTRG.266.1.p1	K00389	kofam	
S1_only_classu|MSTRG.2674.1.p1	K10901	kofam	5.6.2.4
S1_only_classu|MSTRG.2705.1.p1	K19800	kofam	2.7.11.1
S1_only_classu|MSTRG.2712.1.p2	K14319	kofam	
S1_only_classu|MSTRG.2713.1.p1	K01183	kofam	3.2.1.14
S1_only_classu|MSTRG.2714.1.p1	K01183	kofam	3.2.1.14
S1_only_classu|MSTRG.2764.1.p1	K11498	kofam	
S1_only_classu|MSTRG.2766.1.p1	K03321	kofam	
S1_only_classu|MSTRG.277.1.p1	K00327	kofam	1.6.2.4
S1_only_classu|MSTRG.2781.1.p1	K01277	kofam	3.4.14.4
S1_only_classu|MSTRG.2818.1.p1	K01892	kofam	6.1.1.21
S1_only_classu|MSTRG.282.1.p1	K27804	kofam	
S1_only_classu|MSTRG.282.1.p7	K12859	kofam	
S1_only_classu|MSTRG.2824.1.p1	K03163	kofam	5.6.2.1
S1_only_classu|MSTRG.283.1.p1	K27804	kofam	
S1_only_classu|MSTRG.2872.1.p1	K11872	kofam	3.4.19.12
S1_only_classu|MSTRG.3074.1.p1	K22684	kofam	3.4.22.-
S1_only_classu|MSTRG.3094.1.p1	K00799	kofam	2.5.1.18
S1_only_classu|MSTRG.3101.1.p1	K04079	kofam	
S1_only_classu|MSTRG.3131.1.p1	K21292;K23322	kofam	1.-.-.-;1.14.14.86
S1_only_classu|MSTRG.3156.1.p1	K20177	kofam	
S1_only_classu|MSTRG.3156.1.p2	K17878	kofam	2.1.1.-
S1_only_classu|MSTRG.3157.1.p1	K17878	kofam	2.1.1.-
S1_only_classu|MSTRG.3166.1.p2	K08489	kofam	
S1_only_classu|MSTRG.3172.1.p1	K15559	kofam	
S1_only_classu|MSTRG.32.1.p1	K14548	kofam	
S1_only_classu|MSTRG.3217.1.p2	K01736	kofam	4.2.3.5
S1_only_classu|MSTRG.3232.1.p2	K13212	kofam	
S1_only_classu|MSTRG.3244.1.p1	K14262	kofam	3.4.-.-
S1_only_classu|MSTRG.3265.1.p1	K00107	kofam	1.1.3.37
S1_only_classu|MSTRG.3296.1.p1	K22696	kofam	2.1.1.-
S1_only_classu|MSTRG.3320.1.p1	K04464	kofam	2.7.11.24
S1_only_classu|MSTRG.3400.1.p1	K07497	kofam	
S1_only_classu|MSTRG.3412.1.p1	K10531	kofam	1.14.13.195;1.14.13.196
S1_only_classu|MSTRG.356.1.p1	K01807	kofam	5.3.1.6
S1_only_classu|MSTRG.3623.1.p1	K17862	kofam	1.13.11.62
S1_only_classu|MSTRG.3647.1.p1	K03457	kofam	
S1_only_classu|MSTRG.3697.1.p1	K00928	kofam	2.7.2.4
S1_only_classu|MSTRG.3742.1.p1	K01469	kofam	3.5.2.9
S1_only_classu|MSTRG.3764.1.p1	K17805	kofam	
S1_only_classu|MSTRG.381.1.p1	K10884	kofam	
S1_only_classu|MSTRG.3822.1.p1	K22745	kofam	
S1_only_classu|MSTRG.3827.1.p1	K14782	kofam	
S1_only_classu|MSTRG.3855.1.p1	K04705;K08331	kofam	
S1_only_classu|MSTRG.3858.1.p1	K01610	kofam	4.1.1.49
S1_only_classu|MSTRG.3876.1.p1	K12471	kofam	
S1_only_classu|MSTRG.3885.1.p1	K10838;K12604	kofam	
S1_only_classu|MSTRG.3892.1.p3	K00477	kofam	1.14.11.18
S1_only_classu|MSTRG.3892.1.p4	K02730	kofam	3.4.25.1
S1_only_classu|MSTRG.3900.1.p1	K15040	kofam	
S1_only_classu|MSTRG.3936.1.p1	K22746	kofam	
S1_only_classu|MSTRG.3941.1.p1	K01598	kofam	4.1.1.36
S1_only_classu|MSTRG.3941.2.p1	K01598	kofam	4.1.1.36
S1_only_classu|MSTRG.3948.1.p1	K19572	kofam	3.5.4.4
S1_only_classu|MSTRG.3950.1.p1	K04070	kofam	1.97.1.4
S1_only_classu|MSTRG.3959.1.p1	K00797	kofam	2.5.1.16
S1_only_classu|MSTRG.3986.1.p1	K21546	kofam	
S1_only_classu|MSTRG.4007.1.p1	K18655	kofam	5.6.2.7
S1_only_classu|MSTRG.4010.1.p3	K12663	kofam	5.3.3.21
S1_only_classu|MSTRG.402.1.p2	K02976	kofam	
S1_only_classu|MSTRG.4029.1.p1	K01194	kofam	3.2.1.28
S1_only_classu|MSTRG.403.1.p1	K02977	kofam	
S1_only_classu|MSTRG.4087.1.p1	K11226	kofam	2.7.12.2
S1_only_classu|MSTRG.4090.1.p1	K14545	kofam	
S1_only_classu|MSTRG.4123.1.p1	K12763	kofam	
S1_only_classu|MSTRG.4141.1.p1	K09659	kofam	
S1_only_classu|MSTRG.4153.1.p1	K07101	kofam	
S1_only_classu|MSTRG.4160.1.p1	K07497	kofam	
S1_only_classu|MSTRG.4208.2.p1	K02873	kofam	
S1_only_classu|MSTRG.4270.1.p1	K00864	kofam	2.7.1.30
S1_only_classu|MSTRG.4280.1.p1	K09827	kofam	1.1.1.270
S1_only_classu|MSTRG.4294.1.p1	K03942	kofam	7.1.1.2
S1_only_classu|MSTRG.4321.1.p1	K12486	kofam	
S1_only_classu|MSTRG.4324.1.p1	K20523	kofam	
S1_only_classu|MSTRG.4327.1.p2	K14334	kofam	5.5.1.5
S1_only_classu|MSTRG.4355.1.p1	K04567	kofam	6.1.1.6
S1_only_classu|MSTRG.4364.1.p2	K09529	kofam	
S1_only_classu|MSTRG.4372.1.p1	K00565	kofam	2.1.1.56
S1_only_classu|MSTRG.4379.1.p1	K00814	kofam	2.6.1.2
S1_only_classu|MSTRG.4382.1.p1	K20062	kofam	
S1_only_classu|MSTRG.4390.1.p1	K00059	kofam	1.1.1.100
S1_only_classu|MSTRG.4403.1.p1	K03183	kofam	2.1.1.163;2.1.1.201
S1_only_classu|MSTRG.4431.1.p1	K09043	kofam	
S1_only_classu|MSTRG.4446.1.p1	K01210	kofam	3.2.1.58
S1_only_classu|MSTRG.4449.1.p1	K27389	kofam	
S1_only_classu|MSTRG.4451.1.p1	K00167	kofam	1.2.4.4
S1_only_classu|MSTRG.452.1.p1	K28105	kofam	
S1_only_classu|MSTRG.452.2.p1	K28105	kofam	
S1_only_classu|MSTRG.4555.1.p1	K00761	kofam	2.4.2.9
S1_only_classu|MSTRG.460.1.p1	K13719	kofam	3.1.2.-
S1_only_classu|MSTRG.4617.1.p1	K00262	kofam	1.4.1.4
S1_only_classu|MSTRG.4619.1.p1	K02327	kofam	2.7.7.7
S1_only_classu|MSTRG.4624.1.p1	K15562	kofam	2.7.11.22;2.7.11.23
S1_only_classu|MSTRG.4645.1.p1	K17279	kofam	
S1_only_classu|MSTRG.4665.1.p1	K01273	kofam	3.4.13.19
S1_only_classu|MSTRG.4665.1.p2	K02952	kofam	
S1_only_classu|MSTRG.4698.1.p1	K15289	kofam	
S1_only_classu|MSTRG.4701.1.p1	K01526	kofam	3.6.1.42
S1_only_classu|MSTRG.4701.1.p2	K07897	kofam	3.6.5.2
S1_only_classu|MSTRG.4709.1.p1	K16912	kofam	
S1_only_classu|MSTRG.4709.1.p2	K01069	kofam	3.1.2.6
S1_only_classu|MSTRG.4710.1.p1	K00858	kofam	2.7.1.23
S1_only_classu|MSTRG.4750.1.p1	K14558	kofam	
S1_only_classu|MSTRG.4777.1.p3	K00787	kofam	2.5.1.1;2.5.1.10
S1_only_classu|MSTRG.478.1.p1	K11366	kofam	3.4.19.12
S1_only_classu|MSTRG.4858.1.p3	K12161	kofam	
S1_only_classu|MSTRG.4859.1.p1	K11374	kofam	
S1_only_classu|MSTRG.4877.1.p2	K14845	kofam	
S1_only_classu|MSTRG.4915.1.p1	K01952	kofam	6.3.5.3
S1_only_classu|MSTRG.4953.1.p1	K13950	kofam	2.6.1.85
S1_only_classu|MSTRG.4953.1.p4	K28212	kofam	
S1_only_classu|MSTRG.4996.1.p1	K17439	kofam	
S1_only_classu|MSTRG.5013.1.p1	K02930	kofam	
S1_only_classu|MSTRG.5030.1.p2	K18723	kofam	
S1_only_classu|MSTRG.5030.1.p6	K08499	kofam	
S1_only_classu|MSTRG.5065.1.p1	K12948	kofam	3.4.-.-
S1_only_classu|MSTRG.5091.1.p1	K01113	kofam	3.1.3.1
S1_only_classu|MSTRG.5099.1.p1	K01749	kofam	2.5.1.61
S1_only_classu|MSTRG.5099.1.p4	K02437	kofam	
S1_only_classu|MSTRG.5104.1.p1	K06682	kofam	
